LUC,GCM,RCP,Timestep,LULC,Mean,Lower,Upper
BAU,CanESM2,rcp45,2016,Forest,155814.27,155693.47499999998,155912.3
BAU,CanESM2,rcp45,2016,Grassland,45711.32,45502.95,45960.15
BAU,CanESM2,rcp45,2016,Shrubland,111253.49,111132.55,111353
BAU,CanESM2,rcp45,2016,SnowIce,28,28,28
BAU,CanESM2,rcp45,2016,Water,18655,18655,18655
BAU,CanESM2,rcp45,2016,Wetland,2727.31,2689.475,2762.5249999999996
BAU,CanESM2,rcp45,2017,Agriculture,44471.22,44211.425,44741.524999999994
BAU,CanESM2,rcp45,2017,Barren,19155,19155,19155
BAU,CanESM2,rcp45,2017,Developed,26126.65,25823,26418.725
BAU,CanESM2,rcp45,2017,Forest,155779.38,155666.325,155893.975
BAU,CanESM2,rcp45,2017,Grassland,45658.61,45393.35,45918.05
BAU,CanESM2,rcp45,2017,Shrubland,111214.18,111094.025,111320.975
BAU,CanESM2,rcp45,2017,SnowIce,28,28,28
BAU,CanESM2,rcp45,2017,Water,18655,18655,18655
BAU,CanESM2,rcp45,2017,Wetland,2723.96,2680,2761.575
BAU,CanESM2,rcp45,2018,Agriculture,44420.97,44139.925,44732
BAU,CanESM2,rcp45,2018,Barren,19155,19155,19155
BAU,CanESM2,rcp45,2018,Developed,26312.15,25940.65,26686
BAU,CanESM2,rcp45,2018,Forest,155745.47,155607.3,155874.575
BAU,CanESM2,rcp45,2018,Grassland,45603.2,45256,45933.024999999994
BAU,CanESM2,rcp45,2018,Shrubland,111170.82,111044.29999999999,111285.575
BAU,CanESM2,rcp45,2018,SnowIce,28,28,28
BAU,CanESM2,rcp45,2018,Water,18655,18655,18655
BAU,CanESM2,rcp45,2018,Wetland,2721.39,2673.425,2761
BAU,CanESM2,rcp45,2019,Agriculture,44366.82,44096.3,44686
BAU,CanESM2,rcp45,2019,Barren,19155,19155,19155
BAU,CanESM2,rcp45,2019,Developed,26507.29,26121.7,26869.275
BAU,CanESM2,rcp45,2019,Forest,155707.88,155565.375,155836.075
BAU,CanESM2,rcp45,2019,Grassland,45546.81,45210.4,45902.925
BAU,CanESM2,rcp45,2019,Shrubland,111126.28,111008.95,111245.525
BAU,CanESM2,rcp45,2019,SnowIce,28,28,28
BAU,CanESM2,rcp45,2019,Water,18655,18655,18655
BAU,CanESM2,rcp45,2019,Wetland,2718.92,2673.4750000000004,2757.05
BAU,CanESM2,rcp45,2020,Agriculture,44322.46,44037.8,44594.15
BAU,CanESM2,rcp45,2020,Barren,19155,19155,19155
BAU,CanESM2,rcp45,2020,Developed,26700.3,26216.525,27120.625
BAU,CanESM2,rcp45,2020,Forest,155670.42,155518.8,155815.15
BAU,CanESM2,rcp45,2020,Grassland,45485.28,45178.225000000006,45856.675
BAU,CanESM2,rcp45,2020,Shrubland,111080.5,110940.85,111220.35
BAU,CanESM2,rcp45,2020,SnowIce,28,28,28
BAU,CanESM2,rcp45,2020,Water,18655,18655,18655
BAU,CanESM2,rcp45,2020,Wetland,2715.04,2671,2757.1
BAU,CanESM2,rcp45,2021,Agriculture,44274.31,43995.8,44542.625
BAU,CanESM2,rcp45,2021,Barren,19155,19155,19155
BAU,CanESM2,rcp45,2021,Developed,26881.85,26395.5,27327.15
BAU,CanESM2,rcp45,2021,Forest,155635.74,155480.45,155790.775
BAU,CanESM2,rcp45,2021,Grassland,45431.17,45103.325,45831.725000000006
BAU,CanESM2,rcp45,2021,Shrubland,111038.78,110889.54999999999,111182.35
BAU,CanESM2,rcp45,2021,SnowIce,28,28,28
