LUC,GCM,RCP,Timestep,Ecosystem,StockGroup,Mean,Lower,Upper
Low,MIROC5,rcp45,2005,No,Aquatic,9293.505055366564,9292.002410203082,9294.986980331418
Low,MIROC5,rcp45,2005,No,Atmosphere,-111139.99398028235,-111691.87193403614,-110690.60011427003
Low,MIROC5,rcp45,2005,No,DOM,13.73357956769537,9.175553467177025,18.531761112218
Low,MIROC5,rcp45,2005,No,HAP,71150.91222073142,71016.17913380693,71274.32133147461
Low,MIROC5,rcp45,2005,No,HWP,18368.84502466449,17828.349709813694,19186.767911874893
Low,MIROC5,rcp45,2005,No,Live,148.9027040932661,128.60827254351062,171.35285970728702
Low,MIROC5,rcp45,2005,No,Soil,4907.83267137561,4560.471293215135,5348.520959264462
Low,MIROC5,rcp45,2005,Yes,DOM,379479.87900644954,379209.7779995099,379852.44880179723
Low,MIROC5,rcp45,2005,Yes,Live,1827524.3531957709,1826347.116591059,1828479.5860082144
Low,MIROC5,rcp45,2005,Yes,Soil,2623383.045731609,2622820.0636003986,2623870.340985084
Low,MIROC5,rcp45,2006,No,Aquatic,11597.196019269735,11595.066634726729,11599.148196514097
Low,MIROC5,rcp45,2006,No,Atmosphere,-142531.8413495499,-143265.95690057526,-141792.55353880668
Low,MIROC5,rcp45,2006,No,DOM,19.21409365223512,14.4280799852728,24.330957807143676
Low,MIROC5,rcp45,2006,No,HAP,91425.00454791894,91205.7513822795,91646.90867132088
Low,MIROC5,rcp45,2006,No,HWP,22629.482263216545,22060.035073534193,23584.03714729412
Low,MIROC5,rcp45,2006,No,Live,181.49695555576906,159.4313068879722,205.63833018567226
Low,MIROC5,rcp45,2006,No,Soil,6010.380267720674,5590.6583980922205,6528.475633947522
Low,MIROC5,rcp45,2006,Yes,DOM,386378.92117319,386001.2933732759,386801.90200033435
Low,MIROC5,rcp45,2006,Yes,Live,1826282.3351612915,1824822.9510536934,1827526.6826932933
Low,MIROC5,rcp45,2006,Yes,Soil,2621138.8260768927,2620502.385076372,2621725.1047386015
Low,MIROC5,rcp45,2007,No,Aquatic,13895.478054390212,13892.731719769334,13897.674819839782
Low,MIROC5,rcp45,2007,No,Atmosphere,-112889.9153070231,-113613.93430205682,-112089.15325718938
Low,MIROC5,rcp45,2007,No,DOM,26.46742859584818,20.054819104394852,32.86061750170959
Low,MIROC5,rcp45,2007,No,HAP,105023.66678941653,104737.48575786476,105296.28732786121
Low,MIROC5,rcp45,2007,No,HWP,27091.680665816915,26333.346414937874,27950.8729498744
Low,MIROC5,rcp45,2007,No,Live,203.1822168861809,183.82255442372693,228.21783808238604
Low,MIROC5,rcp45,2007,No,Soil,6883.783220167459,6433.757827234306,7507.0184911147335
Low,MIROC5,rcp45,2007,Yes,DOM,387870.6723345423,387510.06617985107,388241.8393993034
Low,MIROC5,rcp45,2007,Yes,Live,1775260.6742711167,1773782.7971197385,1776642.0902518076
Low,MIROC5,rcp45,2007,Yes,Soil,2619765.325535413,2619042.754077179,2620349.48152732
Low,MIROC5,rcp45,2008,No,Aquatic,16189.281281745018,16186.103859263214,16191.893988264352
Low,MIROC5,rcp45,2008,No,Atmosphere,-107131.43653134395,-108090.82346620415,-106035.77253799504
Low,MIROC5,rcp45,2008,No,DOM,32.03807792432802,24.253592256875574,37.86690195108581
Low,MIROC5,rcp45,2008,No,HAP,119433.79482391583,119068.30950087484,119759.50534393021
Low,MIROC5,rcp45,2008,No,HWP,33295.46557918419,32341.693822988087,34056.08269147763
Low,MIROC5,rcp45,2008,No,Live,224.90629464170462,200.97741739242264,248.8854279681551
Low,MIROC5,rcp45,2008,No,Soil,7758.166999542077,7290.027729691086,8463.73692726313
Low,MIROC5,rcp45,2008,Yes,DOM,382252.5021034942,381794.2374928135,382808.01128436567
Low,MIROC5,rcp45,2008,Yes,Live,1756090.7839660153,1754399.5467828298,1757617.8250973374
Low,MIROC5,rcp45,2008,Yes,Soil,2614985.5126140285,2614154.9218718363,2615591.5256145475
Low,MIROC5,rcp45,2009,No,Aquatic,18465.534872989727,18461.451993359136,18468.788920522093
Low,MIROC5,rcp45,2009,No,Atmosphere,-109872.40946987878,-111095.93044576945,-108589.29079988739
Low,MIROC5,rcp45,2009,No,DOM,36.06198907655564,27.520854455424576,42.85045533401547
Low,MIROC5,rcp45,2009,No,HAP,134305.86540678292,133848.48817752567,134716.89952835787
Low,MIROC5,rcp45,2009,No,HWP,38103.378377574125,37249.18756115693,39151.91704977879
Low,MIROC5,rcp45,2009,No,Live,243.91876868503513,218.23644817661196,272.691842546115
Low,MIROC5,rcp45,2009,No,Soil,8387.233246552638,7871.518809905809,9110.16276483754
Low,MIROC5,rcp45,2009,Yes,DOM,383040.30900442903,382600.2923604486,383643.910527664
Low,MIROC5,rcp45,2009,Yes,Live,1740846.2898151109,1738482.2464715838,1742510.493649379
Low,MIROC5,rcp45,2009,Yes,Soil,2609574.833197832,2608695.10571459,2610275.401727669
Low,MIROC5,rcp45,2010,No,Aquatic,20735.786083976684,20730.615685605204,20739.2963953873
Low,MIROC5,rcp45,2010,No,Atmosphere,-198495.1701402335,-200013.51510110463,-197002.1057679735
Low,MIROC5,rcp45,2010,No,DOM,39.86855001261457,32.339514449092725,46.555603708004455
Low,MIROC5,rcp45,2010,No,HAP,157916.15276010954,157327.29155821886,158484.3048560185
Low,MIROC5,rcp45,2010,No,HWP,40671.92716221423,39857.67443421883,41637.32338713613
Low,MIROC5,rcp45,2010,No,Live,268.19062528609254,242.00406842472398,299.4199071963106
Low,MIROC5,rcp45,2010,No,Soil,8994.007968111766,8515.665393413816,9735.18258412284
Low,MIROC5,rcp45,2010,Yes,DOM,389272.0167727,388840.37525655463,389796.6267514945
Low,MIROC5,rcp45,2010,Yes,Live,1799241.8803955046,1796961.787279596,1801042.345898901
Low,MIROC5,rcp45,2010,Yes,Soil,2604486.3550315145,2603635.8869892675,2605128.7152002333
Low,MIROC5,rcp45,2011,No,Aquatic,23009.710330961545,23003.539483803925,23013.9293225465
Low,MIROC5,rcp45,2011,No,Atmosphere,-217930.0606164914,-219680.9682927897,-216027.20102514958
Low,MIROC5,rcp45,2011,No,DOM,43.41683123391748,35.67362767553795,50.94179566392052
Low,MIROC5,rcp45,2011,No,HAP,176720.16560385042,175999.860999345,177419.31380201102
Low,MIROC5,rcp45,2011,No,HWP,43138.337464146105,42222.91027527275,44170.740511826865
Low,MIROC5,rcp45,2011,No,Live,280.26871527549235,251.54400601643204,311.6087564709985
Low,MIROC5,rcp45,2011,No,Soil,9417.71042354663,8897.01038793684,10128.6459240291
Low,MIROC5,rcp45,2011,Yes,DOM,402270.71920552914,401866.058742846,402734.9564142529
Low,MIROC5,rcp45,2011,Yes,Live,1780644.3806353055,1778354.7535969312,1782169.539109061
Low,MIROC5,rcp45,2011,Yes,Soil,2605536.3666159906,2604632.6368576605,2606209.7033708775
Low,MIROC5,rcp45,2012,No,Aquatic,25293.533075255087,25286.394201630967,25298.426204573967
Low,MIROC5,rcp45,2012,No,Atmosphere,-234879.9110410448,-237286.5922842543,-232718.60797946382
Low,MIROC5,rcp45,2012,No,DOM,46.71990935383502,38.339773663866126,55.36520521961914
Low,MIROC5,rcp45,2012,No,HAP,194987.23279855214,194151.27406900632,195798.07334016805
Low,MIROC5,rcp45,2012,No,HWP,45670.384536824524,44658.38001351899,46744.07315426598
Low,MIROC5,rcp45,2012,No,Live,292.26481996406744,264.5238075726067,323.6046971469084
Low,MIROC5,rcp45,2012,No,Soil,9867.19778604241,9350.866434841162,10652.5164729891
Low,MIROC5,rcp45,2012,Yes,DOM,393220.47748705716,392752.5942123498,393699.5024464961
Low,MIROC5,rcp45,2012,Yes,Live,1781624.491782845,1779112.1717036993,1783432.851273256
Low,MIROC5,rcp45,2012,Yes,Soil,2607008.624054496,2606046.280589727,2607753.493349514
Low,MIROC5,rcp45,2013,No,Aquatic,27578.89892880388,27571.011917914846,27584.60233432489
Low,MIROC5,rcp45,2013,No,Atmosphere,-161854.50311715872,-164228.25586222904,-159368.31166102
Low,MIROC5,rcp45,2013,No,DOM,49.44644919938137,40.782036567007125,58.49647933255582
